seasoning,CDR
0.0,0.0
1.0,0.0
2.0,0.0
3.0,2.479170002839204
4.0,3.2060241353720764
5.0,5.2781327617660185
6.0,6.802257000891199
7.0,7.988958310015559
8.0,8.162845368841342
9.0,8.310640554999715
10.0,10.501890583135697
11.0,7.813760655459323
12.0,5.200519449056362
13.0,4.50423903941971
14.0,5.493013227753152
15.0,7.8733899188926255
16.0,7.041979332001458
17.0,4.247558657557271
18.0,4.252533511010381
19.0,3.4780044312615943
20.0,4.6159742001042225
21.0,8.473671827228802
22.0,9.610199517454475
23.0,10.002003213524635
24.0,9.24497237509062
25.0,16.71698321683166
26.0,15.76207452534848
27.0,16.401671045608268
28.0,19.64130957109984
29.0,17.93590880383601
30.0,21.631286849447463
31.0,21.322803461003904
32.0,19.675147602243893
33.0,19.33489793702502
34.0,17.645400233999254
35.0,13.529236220033237
36.0,15.157930695559873
37.0,21.86941572029937
38.0,24.789871962420428
39.0,25.22178789880788
40.0,22.846480434222695
41.0,25.528080681397224
42.0,20.65594470989304
43.0,18.33028523730329
44.0,19.047858259388295
45.0,23.610293129066317
46.0,19.483304820762193
47.0,20.39019069429272
48.0,17.909265804037034
49.0,14.058181757250543
50.0,27.04588400883663
51.0,35.52117710716538
52.0,34.969678556514275
53.0,21.7301623681745
54.0,30.620542902342507
55.0,39.7102118427047
56.0,34.08000345933742
57.0,36.04695800987082
58.0,38.27300590263529
59.0,39.92451678744343
60.0,53.588564186304566
61.0,45.320576539108856
62.0,47.080292053154814
63.0,47.02469179002178
64.0,62.241838630969724
65.0,59.96866005788186
66.0,49.27794535539376
67.0,41.208979478660126
68.0,66.67907686026516
69.0,58.20350019376757
70.0,60.20542633317129
71.0,60.295833618888395
72.0,63.12487158536453
73.0,65.0615089901874
74.0,29.619966734398297
75.0,33.15039513480021
76.0,14.410947203314638
77.0,15.039907221635996
78.0,0.0
79.0,0.0
80.0,0.0
81.0,0.0
82.0,0.0
83.0,0.0
