seasoning,CPR
0.0,0.0
1.0,2.243894469213248
2.0,0.6460368163241248
3.0,0.4430654148170232
4.0,1.2428973498266105
5.0,3.4881879354543455
6.0,1.0128595127477658
7.0,3.6104640796802645
8.0,4.775763874254945
9.0,2.2782804119910516
10.0,2.6544274169028825
11.0,0.0
12.0,0.8367853795456903
13.0,2.9237235607225465
14.0,0.0
15.0,3.1361351607799737
16.0,1.9000590385625626
17.0,3.7622650129191637
18.0,2.611027309288061
19.0,2.236438242245453
20.0,3.4370952512110753
21.0,1.3506454167630078
22.0,7.7859696648263865
23.0,0.0
24.0,81.43146389324514
25.0,45.2152571050661
26.0,49.037390225275836
27.0,37.23439105128394
28.0,32.83003353962193
29.0,9.425240748358355
30.0,16.6549985221073
31.0,26.15530911888577
32.0,20.085863819741956
33.0,15.758101208485375
34.0,18.001280242079886
35.0,21.95852183939737
36.0,15.745936853024878
37.0,0.0
38.0,6.574746378011409
39.0,15.256235002647534
40.0,4.9917745974324195
41.0,13.566425712610874
42.0,13.678714630578703
43.0,0.0
44.0,6.115019932936927
45.0,0.0
46.0,5.735475893359099
47.0,12.930873521903418
48.0,9.900769181313972
49.0,0.0
50.0,6.40099680833549
51.0,4.758959709983801
52.0,15.279689791953388
53.0,0.0
54.0,0.0
55.0,10.76824711419948
56.0,4.847982510580651
57.0,11.902779238752482
58.0,0.0
59.0,13.034437731409355
60.0,0.0
61.0,0.0
62.0,22.778109770079237
63.0,0.0
64.0,0.0
65.0,23.885397286879762
66.0,31.04753595600046
67.0,0.0
68.0,31.980045190306818
69.0,0.0
70.0,0.0
71.0,0.0
72.0,0.0
73.0,0.0
74.0,0.0
75.0,0.0
76.0,0.0
77.0,0.0
78.0,0.0
79.0,0.0
80.0,51.35906866472908
81.0,0.0
82.0,0.0
83.0,0.0
